word,degree,strength,eigenvector,bridging,pc1,pc2,pc3
[a]-gi,2,0.3,0.001459,2.0,-0.0026,-0.0063,0.003
[an-za-a]n,2,0.3,0.000845,2.0,-0.0008,-0.0043,-0.0014
[az-ki-it,2,0.3,0.003033,2.0,0.162,0.0115,0.0003
[dingir-gal,2,0.3,0.002367,2.0,-0.0036,-0.0038,0.0012
[dingir-gal],2,0.3,0.004501,0.0,0.0039,-0.0093,-0.0079
[h]a-li-ik,2,0.3,0.003021,2.0,-0.0018,-0.0049,0.0005
[hi-ih,3,0.9033,0.000174,3.0,0.162,0.0115,0.0003
[hi]-ih,2,0.3,0.002997,2.0,0.0039,-0.0093,-0.0079
[hu-us-si]-ip-me,2,0.3,0.001733,2.0,-0.0016,-0.0056,-0.0025
[hu]-uh-tah,2,0.3,5.4e-05,0.0,-0.0016,0.0001,-0.007
[hu]-ut2-tah,2,0.3,1.3e-05,2.0,0.162,0.0115,0.0003
[hu]-ut2-tak-ha-li-ik,2,0.3,0.003427,2.0,0.0039,-0.0093,-0.0079
[hu]-šu-ia,2,0.3,0.000853,2.0,0.162,0.0115,0.0003
[i],2,0.3,0.000579,2.0,0.0039,-0.0093,-0.0079
[in,2,0.3,0.001206,2.0,-0.0036,-0.0038,0.0012
[in-gi,2,0.3,3.1e-05,2.0,-0.0021,-0.0145,-0.0003
[in-ti]-ik-ka,2,0.3,0.000868,2.0,-0.0026,-0.0063,0.003
[in]-gi,2,0.3,0.001701,2.0,-0.0008,-0.0043,-0.0014
[ip-il-la-ti],2,0.3,0.002362,2.0,-0.0017,-0.0065,-0.0012
[ki?]-zu-um,2,0.3,0.002231,2.0,0.0039,-0.0093,-0.0079
[ku-ku]-un-nu-um,2,0.3,0.000853,0.0,-0.0008,-0.0043,-0.0014
[ku-ši-ih],2,0.3,1.1e-05,2.0,-0.0026,-0.0063,0.003
[la-ha-ak-ir-ra,2,0.3,0.000146,2.0,0.162,0.0115,0.0003
[la-ha-ak-ir-ra],2,0.3,0.00275,2.0,0.162,0.0115,0.0003
[li-mi-in-ra,2,0.3,0.001251,2.0,0.0001,-0.0068,0.0006
[me]-lu-u[k-ra],2,0.3,3.8e-05,2.0,-0.0014,-0.0058,0.002
[pi-el],2,0.3,0.000846,2.0,-0.0021,-0.0145,-0.0003
[ri?-im?]-mu-u[m,2,0.3,0.0,2.0,0.162,0.0115,0.0003
[ri?]-mu-um,2,0.3,2e-06,2.0,0.0053,-0.0104,-0.006
[si-i-an]-ku-uk,2,0.3,1e-06,2.0,0.162,0.0115,0.0003
[si-it-tim,2,0.3,0.000996,2.0,-0.0011,-0.0084,-0.0001
[si]-ia-an-ku-uk,2,0.3,0.000242,2.0,0.0053,-0.0104,-0.006
[su]-un-ki-ik,2,0.3,1.9e-05,2.0,-0.0017,-0.0023,-0.0044
[t]e-ip-ti,2,0.3,0.001256,2.0,0.162,0.0115,0.0003
[ta]š?-šu?-up,2,0.3,1e-06,2.0,-0.0016,-0.0037,-0.0018
[te-ip]-ti,2,0.3,0.001744,2.0,0.0039,-0.0093,-0.0079
[tu-ur],2,0.3,0.000966,2.0,-0.0008,-0.0043,-0.0014
[tu4-ur],2,0.3,0.001106,2.0,-0.0014,-0.0058,0.002
[u2,3,0.45,0.001412,3.0,0.0892,0.0006,0.0007
[u2-r]i-pu-up,2,0.3,3e-06,2.0,0.162,0.0115,0.0003
[u2],2,0.3,0.000579,2.0,0.0053,-0.0104,-0.006
[ur(?),2,0.3,0.0,2.0,-0.0009,-0.0047,0.0001
[š]u?-ut?-ta?,2,0.3,0.001684,0.0,0.0006,-0.0056,-0.0034
[šu-šu-un-ka,2,0.3,0.003502,2.0,0.0001,-0.0068,0.0006
[šu-šu]-un-ka,2,0.3,0.001827,2.0,0.0006,-0.0056,-0.0034
[šu]-lu-me-en-[ga],2,0.3,0.003567,0.0,0.0053,-0.0104,-0.006
[…],50,14.6473,0.099725,47.2653,-0.0016,-0.0112,-0.0036
[…]-a,1,0.15,0.0,0,0.162,0.0115,0.0003
[…]-ak,4,0.6,0.002061,4.0,-0.0038,-0.0043,-0.0024
[…]-ar-na,2,0.3,0.004162,0.0,-0.0017,-0.0023,-0.0044
[…]-ih-ma,2,0.3,0.003681,0.0,-0.0017,-0.0023,-0.0044
[…]-nu-me-na-gi,1,0.15,0.0,0,-0.0017,-0.0023,-0.0044
[…]-pi,2,0.3,0.001803,2.0,-0.0017,-0.0023,-0.0044
[…]-ti-e?,2,0.3,0.001778,2.0,0.0006,-0.0056,-0.0034
[…]-ti-ia,3,0.6,0.003625,3.0,-0.0039,-0.0051,0.0021
[…]-uš-ni-e,1,0.15,7e-06,0,-0.0036,-0.0038,0.0012
[…u2-pa-at,2,0.3,0.000845,2.0,-0.0008,-0.0043,-0.0014
[…u2]-pa-at,2,0.3,4.4e-05,2.0,0.0006,-0.0056,-0.0034
],2,0.7849,0.00013,2.0,-0.0018,-0.0049,0.0005
a,2,0.3,0.000846,2.0,0.0003,-0.0043,-0.0017
a-ah?,2,0.3,1.3e-05,2.0,-0.0021,-0.0145,-0.0003
a-ak,87,35.2639,0.212654,82.9767,-0.0165,0.0555,-0.0034
a-ak],4,0.6,0.000873,4.0,-0.0028,-0.0057,-0.0005
a-al,3,0.6,0.000106,3.0,-0.0107,0.1523,-0.1029
a-aš2-ta2,2,0.3,0.004589,0.0,-0.002,-0.0057,-0.0023
a-bu-ul,7,1.5157,0.011113,6.3333,-0.0046,0.0304,-0.0069
a-bu-ul-lu,2,0.3,3.2e-05,2.0,-0.0071,0.097,-0.113
a-gi,40,24.6342,0.166432,33.5385,0.0125,-0.0264,-0.0041
a-ha,11,1.8,0.005049,10.8,-0.0088,0.0811,-0.0548
a-ha-a,3,1.2024,0.007129,2.0,-0.0049,0.0301,0.0406
a-ha-an,7,2.4,0.010321,6.3333,-0.0073,0.0255,-0.026
a-ha-ar,21,6.0591,0.03708,19.7,-0.0058,0.0225,-0.0007
a-i-in,2,0.3,0.002244,2.0,-0.002,-0.0037,-0.0024
a-lu-me-lu,2,0.3,0.003854,0.0,-0.0027,0.0036,-0.0117
a-lu-mi-im-ma,2,0.3,0.003184,0.0,-0.0023,-0.0058,-0.0022
a-ni,5,1.5,0.000115,4.0,-0.0083,0.1022,0.1481
a-pi,2,0.3,1.4e-05,2.0,0.0003,-0.0043,-0.0017
a-pi-me,4,0.6,0.001831,3.3333,-0.0028,-0.004,-0.0025
a-pi-te,2,0.3,1.5e-05,2.0,-0.0018,-0.0059,0.0001
a-pu,2,0.9,0.005625,2.0,-0.0062,0.0426,0.0533
a-pu-un,13,7.2191,0.067912,7.8333,-0.0042,-0.0046,-0.0041
a[n-za]-an,2,0.3,0.002229,2.0,-0.0017,-0.0023,-0.0044
a]-ak,2,0.3,0.002027,2.0,-0.0021,-0.0035,0.0017
ak-ka,15,4.118,0.016262,14.7143,-0.0066,0.0838,0.1479
an-[za-an],2,0.3,0.003509,2.0,-0.0021,-0.0145,-0.0003
an-ka,2,0.3,1.5e-05,2.0,-0.0059,0.0565,0.0709
an-za-an,13,23.2591,0.241858,11.6667,-0.0264,-0.0434,-0.0223
an-za-an],2,0.3,0.002632,2.0,-0.0011,-0.0084,-0.0001
ap-pa,14,3.3,0.006169,13.6923,-0.0038,0.0346,-0.024
ap-pu-ki-i,2,0.3,0.000152,2.0,-0.0019,-0.0041,0.0003
ap-pu-ki-me,2,0.3,0.002361,2.0,-0.0019,-0.0041,0.0003
ar,2,0.3,0.000898,2.0,0.0003,-0.0043,-0.0017
az-ki-[it],2,0.3,0.004623,0.0,-0.0017,-0.0065,-0.0012
az-ki-it,15,8.8055,0.066816,12.2857,-0.0042,-0.0339,-0.0041
be-el-ti,3,0.6,8.6e-05,3.0,-0.0019,-0.0041,0.0003
da-ah,2,0.3,0.001501,2.0,-0.0032,0.0049,-0.0068
dingir-gal,30,22.6011,0.239154,23.3793,-0.0123,0.038,0.0258
dingir-gal-me,4,0.6,0.005615,2.0,-0.0049,0.0386,-0.0497
dingir-gal],2,0.3,0.003001,2.0,0.162,0.0115,0.0003
du-[…]h-pi,2,0.3,4.8e-05,2.0,-0.0017,-0.0023,-0.0044
du-ha-an-ra,2,0.3,1.5e-05,2.0,-0.0082,0.1217,-0.0215
du-ni-[ih,2,0.3,0.001519,2.0,0.162,0.0115,0.0003
du-ni-ih,31,15.8383,0.14226,25.8,-0.0145,-0.0141,-0.0102
du-ni-ih-ši-ni-e,1,0.15,0.00017,0,-0.0018,-0.0059,0.0001
du-ni-iš,2,0.3,0.00017,2.0,-0.0032,0.0049,-0.0068
du-ni-iš-ni,1,0.6,0.000679,0,-0.005,-0.0091,-0.0003
du-uh,2,0.3,0.001803,2.0,-0.0016,-0.0037,-0.0018
du-uh?,2,0.3,0.001494,2.0,-0.0021,-0.0145,-0.0003
du-un-ra,2,0.3,0.001818,0.0,-0.0059,0.0565,0.0709
dur-na-ah-u2-te-{na}?,2,0.3,0.0,2.0,-0.0016,-0.0037,-0.0018
e,3,0.9294,0.004288,3.0,-0.0018,-0.0049,0.0005
e[l?-x-x]-at-tu4,2,0.3,0.000577,2.0,0.0006,-0.0081,0.0001
en,2,0.3,1.5e-05,2.0,-0.0016,-0.0037,-0.0018
gi-nu-ni,2,0.3,0.002454,2.0,-0.0016,-0.0059,-0.0001
gi-ri-na,5,1.8535,0.010883,5.0,-0.0069,0.0369,0.0381
gi-ri-ni,3,0.6,0.003572,3.0,-0.0007,-0.0108,0.0004
h[u-ut-tak-h]a-li-ik,2,0.3,0.003004,2.0,0.0006,-0.0081,0.0001
ha-<at>,2,0.3,0.002053,2.0,-0.0044,0.0586,0.1392
ha-ah-ni-in-ra,2,0.3,6.7e-05,2.0,-0.0022,-0.0061,-0.0006
ha-al,6,0.9,5.7e-05,6.0,-0.0063,0.0631,-0.0429
ha-al-li,2,0.3,5.3e-05,2.0,-0.0071,0.097,-0.113
ha-al-ma-šu-um,4,0.6,0.002254,4.0,-0.0107,0.1523,-0.1029
ha-al-te-te,2,0.3,1.5e-05,2.0,-0.0082,0.1217,-0.0215
ha-ap-pa-ti-iš,2,0.3,1.2e-05,2.0,-0.0021,0.0008,-0.0009
ha-ap-ti-iš,2,0.3,3e-06,2.0,-0.0071,0.097,-0.113
ha-ap-ši,2,0.3,0.000155,2.0,-0.0016,-0.0075,0.0002
ha-at,4,0.9,0.006152,4.0,-0.0096,0.1098,0.0499
ha-at-ta-an-ra,2,0.3,0.001821,0.0,-0.0059,0.0565,0.0709
ha-di-en,2,0.3,0.000427,2.0,-0.0016,-0.0075,0.0002
ha-du,2,0.3,0.000845,2.0,-0.0017,-0.0023,-0.0044
ha-li-[ih,2,0.3,0.0,2.0,0.162,0.0115,0.0003
ha-li-ih,6,1.2,0.001557,6.0,0.0832,-0.0065,-0.0078
ha-li-ik,2,0.6,0.006013,2.0,-0.003,-0.012,-0.0007
ha-ni-ih-ši,2,0.3,0.00017,2.0,-0.0016,-0.0037,-0.0018
ha-ta-am-ti-ir,2,0.3,0.0,2.0,-0.0059,0.0565,0.0709
hi-[en-g]a,2,0.3,0.000839,2.0,0.162,0.0115,0.0003
hi-[…],2,0.3,0.000839,2.0,0.0006,-0.0056,-0.0034
hi-e]n-ka,2,0.3,0.000234,2.0,-0.0021,-0.0145,-0.0003
hi-el,2,0.3,3.2e-05,2.0,-0.0071,0.097,-0.113
hi-en-ga,19,10.1213,0.084266,13.5556,-0.0055,-0.0261,-0.0005
hi-en-ka,23,12.2157,0.100908,17.8182,-0.0048,-0.0205,-0.0042
hi-i-še,2,0.3,0.0,2.0,-0.0071,0.097,-0.113
hi-i-še-e,2,0.3,0.000139,2.0,-0.0082,0.1217,-0.0215
hi-ih,19,13.5864,0.113943,17.1111,-0.0107,-0.0279,0.0213
hi-ih-li,3,0.75,0.000415,3.0,-0.0062,0.0426,0.0533
hi-ih-ni,1,0.15,0.001778,0,0.0001,-0.0068,0.0006
hi-ih-ni],1,0.15,0.001778,0,-0.0011,-0.0084,-0.0001
hi-ih2,2,0.3,0.002997,2.0,-0.0016,-0.0079,-0.0011
hi-iš,6,1.2,0.006748,5.6,-0.0066,0.0778,0.1569
hi-iš-e,2,0.3,0.000846,2.0,0.0006,-0.0056,-0.0034
hi-še,4,0.6,0.002435,3.3333,-0.005,0.0384,-0.0174
hi?-[…],2,0.3,0.00034,2.0,0.0006,-0.0081,0.0001
hi?-iš,2,0.3,0.003001,2.0,0.0006,-0.0056,-0.0034
hu,2,0.3,0.00236,2.0,-0.0016,0.0048,-0.0161
hu-[ut-tah],2,0.3,1.3e-05,2.0,0.0053,-0.0104,-0.006
hu-[ut]-tak-ha-li-ik,2,0.3,0.003001,2.0,-0.0016,-0.0037,-0.0018
hu-ban-nu-me-en-na-ki,2,0.3,0.002233,2.0,-0.0016,-0.0059,-0.0001
hu-hu-un,5,0.9,0.004889,5.0,-0.0108,0.1557,-0.0794
hu-lu-uh,2,0.3,3e-06,2.0,-0.0019,-0.004,-0.0003
hu-ma-an-ra,2,0.3,0.003139,2.0,-0.0044,0.0586,0.1392
hu-ma-ka-ak,2,0.3,2e-06,2.0,-0.0071,0.097,-0.113
hu-ni-in,2,0.3,0.003184,0.0,-0.0022,-0.0048,-0.0022
hu-pi-e,8,1.2,0.000949,7.1429,-0.0041,-0.0056,-0.0038
hu-sa-a,2,0.3,0.001209,2.0,-0.0023,-0.004,-0.0006
hu-si-ip-me,2,0.3,0.001772,2.0,-0.0021,-0.0145,-0.0003
hu-tu4-un-ra,2,0.9153,0.000276,2.0,-0.0044,0.0586,0.1392
hu-uh-[tah-ša],2,0.3,1.5e-05,2.0,0.162,0.0115,0.0003
hu-uh-ni-me,2,0.3,0.0,2.0,-0.0016,0.0048,-0.0161
hu-uh-tah,4,0.9,0.003025,4.0,0.0015,-0.0095,-0.0035
hu-uh-tah-ša,2,0.6,0.002993,2.0,0.0065,-0.014,-0.0099
hu-ul-pa-ah,2,0.3,1.5e-05,2.0,-0.0016,0.0048,-0.0161
hu-un-hi-ih-na,1,0.15,9.2e-05,0,-0.0032,0.0049,-0.0068
hu-us-si-ip-me,17,19.0536,0.218369,9.625,-0.0121,-0.0337,-0.0092
hu-ut-ta-ak,3,0.6,0.000657,3.0,-0.003,-0.012,-0.0007
hu-ut-ta-ak-[ha-li-ik],2,0.3,0.004207,0.0,-0.0017,-0.0065,-0.0012
hu-ut-ta-ak-ha-li-ik,4,0.9,0.01021,3.3333,-0.0035,-0.0046,-0.0016
hu-ut-ta-an,1,0.15,0.000314,0,-0.0023,-0.004,-0.0006
hu-ut-ta-an-ra,3,1.5,0.002738,3.0,-0.0053,-0.011,-0.0006
hu-ut-tah,2,0.3,0.0,2.0,-0.0018,-0.0059,0.0001
hu-ut-tah-ša,4,1.2027,0.003462,2.6667,-0.0033,0.0069,-0.0165
hu-ut-tak-ha-li-ik,17,16.1698,0.173877,14.125,-0.0152,-0.0054,-0.0091
hu-ut-tak-ha-li-ku,2,0.3,0.003001,2.0,-0.0024,-0.0047,-0.0001
hu-ut2-tah-ha-li-ih,2,0.3,0.001508,2.0,0.0039,-0.0093,-0.0079
hu-ut2-tak,2,0.3,2.2e-05,2.0,-0.0017,-0.0023,-0.0044
hu-ut2-tak-[ha-li-ik,2,0.3,0.004207,0.0,-0.0011,-0.0084,-0.0001
hu-ut2-tak-ha-li]-ik,2,0.3,0.004207,0.0,0.0001,-0.0068,0.0006
hu-ut2-tak-ha]-li-[ik,2,0.3,0.003014,2.0,0.162,0.0115,0.0003
hu-ut2-tak?-ha?-[…],2,0.3,0.000584,2.0,-0.0017,-0.0023,-0.0044
hu-uš-ti-in,2,0.3,0.003184,0.0,-0.0016,-0.0056,-0.0025
hu-šu-a,2,0.3,0.001301,0.0,-0.0016,-0.0064,0.0015
hu-šu-ia,6,4.8355,0.026885,5.2,-0.0035,-0.0307,-0.005
hu-šu-ut-ta,2,0.3,0.001405,2.0,-0.0014,-0.005,-0.0002
hu]-uh-tah,3,0.9153,2.2e-05,3.0,0.162,0.0115,0.0003
hu]-us-si-ip-me,2,0.3,1.4e-05,2.0,-0.0008,-0.0043,-0.0014
i,16,3.0,0.003809,15.7333,-0.0083,0.054,0.0087
i-la-a-ni-me,2,0.3,0.002372,2.0,-0.0021,-0.0037,0.0009
i-me-ni,2,0.3,0.000314,2.0,-0.0059,0.0565,0.0709
ia,2,0.3,0.000579,2.0,0.0039,-0.0093,-0.0079
ia-ak,2,0.3,0.000254,2.0,-0.0017,-0.0065,-0.0012
id,2,0.3,0.002462,0.0,-0.0009,-0.0047,0.0001
ik-el,2,0.3,0.000315,2.0,-0.0082,0.1217,-0.0215
ik-ku,2,0.3,6.9e-05,2.0,-0.0032,0.0049,-0.0068
il-ki-ka,2,0.3,0.000244,2.0,-0.0071,0.097,-0.113
il-li-na,2,0.3,0.00159,2.0,-0.0014,-0.005,-0.0002
im-me,13,4.389,0.021633,11.8333,-0.0076,0.0577,-0.064
in,45,30.8954,0.209713,38.1364,-0.0127,-0.0255,-0.0192
in(?)],2,0.3,0.0,2.0,-0.0009,-0.0047,0.0001
in-[ti-ik-ka,2,0.3,0.000863,2.0,-0.0008,-0.0043,-0.0014
in-di-ig-ga,4,1.8,0.013283,0.6667,-0.0039,-0.018,-0.0023
in-di-ig-ga2,2,0.3,0.002125,0.0,-0.0016,-0.0075,0.0002
in-di-ig-ga4,2,0.3,0.002125,0.0,-0.0016,-0.0059,-0.0001
in-di-ik-ka,3,1.5,0.010907,0.0,-0.0028,-0.0172,0.0001
in-gi,21,14.0698,0.098951,15.5,0.029,-0.0299,-0.0053
in-ti-[ig]-ga,2,0.3,7e-06,2.0,0.162,0.0115,0.0003
in-ti-ig-ga,2,0.3,0.000855,2.0,0.0053,-0.0104,-0.006
in-ti-ig-ga8,2,0.3,0.002125,0.0,-0.0021,-0.0067,0.0021
in-ti-ik-[ka],2,0.3,0.000868,2.0,0.0039,-0.0093,-0.0079
in-ti-ik-ka,6,3.6337,0.027584,4.0,-0.0061,-0.0149,-0.0023
in-tu4-um,2,0.3,4.5e-05,2.0,-0.0032,0.0049,-0.0068
in]-ti-ig-[ga],2,0.3,0.001411,2.0,0.162,0.0115,0.0003
ip,2,0.3,0.0,2.0,-0.0044,0.0586,0.1392
ip-il-la-ti,2,0.3,0.004589,0.0,-0.0017,-0.0065,-0.0012
ip-il-la-ti-ma,2,0.3,0.002379,2.0,-0.0021,0.0008,-0.0009
ir,18,7.8299,0.017848,17.2941,-0.0086,0.0076,0.0248
ir-mu,3,0.9519,4.4e-05,3.0,-0.0024,-0.0047,-0.0001
ka,1,0.3,0.001691,0,0.0003,-0.0043,-0.0017
ka-ak-pa-ah,3,1.214,0.003739,3.0,-0.0107,0.1523,-0.1029
ka-da-an,2,0.3,0.000317,0.0,-0.0023,-0.004,-0.0006
ka-tah2,2,0.3,4.3e-05,2.0,-0.0032,0.0049,-0.0068
ka?-ap-na-ak,4,0.6,0.004672,2.0,-0.0021,-0.0145,-0.0003
ki,2,0.3,0.000845,2.0,0.0003,-0.0043,-0.0017
ki-du-um-ma,2,0.3,0.001844,2.0,-0.0071,0.097,-0.113
ki-ib-ra-at,2,0.3,0.002391,2.0,-0.0021,-0.0067,0.0021
ki-ib-ra-at3,2,0.3,0.002391,2.0,-0.0021,-0.0067,0.0021
ki-ik-ki-[…],1,0.15,1.3e-05,0,-0.0021,-0.0145,-0.0003
ki-ik-ki-te-eh,2,0.3,0.001499,2.0,-0.0017,-0.006,-0.002
ki-ik-ki-ti-ih,2,0.3,0.001526,2.0,-0.0016,0.0048,-0.0161
ki-it-ti-[im-ma],2,0.3,4.5e-05,2.0,-0.0021,-0.0145,-0.0003
ki-it-ti-im-ma,8,6.7922,0.018557,7.7143,-0.0091,-0.0061,0.0136
ki-it-ti-in,2,0.3,0.0,2.0,-0.0032,0.0049,-0.0068
ki-it-ti-ma,2,0.3,0.000159,2.0,-0.0021,-0.0067,0.0021
ki-iš-tu4-um-ma,2,0.3,1.2e-05,2.0,-0.0026,-0.0063,0.003
ki-ni-in,2,0.3,0.003184,0.0,-0.0022,-0.005,-0.002
ki-nu-ni,2,0.3,0.002454,2.0,-0.0014,-0.005,-0.0002
ki?-iz?-zu-um,2,0.3,0.002231,2.0,0.0053,-0.0104,-0.006
ku-[ku]-un-nu-um,2,0.3,1.5e-05,2.0,-0.0016,-0.0037,-0.0018
ku-[ši-ih,2,0.3,5.8e-05,2.0,-0.0011,-0.0084,-0.0001
ku-du-ma,2,0.3,0.001803,2.0,-0.0016,0.0048,-0.0161
ku-du-ni,2,0.3,0.001803,2.0,-0.0059,0.0565,0.0709
ku-du-um-ma,2,0.3,0.001844,2.0,-0.0082,0.1217,-0.0215
ku-ku-un-[nu-um,2,0.3,0.00226,2.0,-0.0036,-0.0038,0.0012
ku-ku-un-nu-um,11,1.8,0.00809,9.8,-0.008,0.0686,-0.0625
ku-ku-un-nu-um],2,0.3,4.8e-05,2.0,-0.0021,-0.0035,0.0017
ku-ku-un-nu-um…,2,0.3,0.003233,2.0,-0.0021,-0.0035,0.0017
ku-la-a,2,1.2,2.7e-05,2.0,-0.005,-0.0091,-0.0003
ku-ta-a,2,0.3,0.000315,2.0,-0.0082,0.1217,-0.0215
ku-te-en,2,0.3,0.001752,2.0,-0.002,-0.0037,-0.0024
ku-tu4-un,4,0.9,0.001001,3.3333,-0.01,0.1202,0.1353
ku-u[k-ši-ih],2,0.3,0.000845,2.0,-0.0008,-0.0043,-0.0014
ku-uk-ši-ih,2,0.3,0.0,2.0,-0.0016,0.0048,-0.0161
ku-ul-la-an-ka,6,1.5,0.000526,6.0,-0.0053,-0.011,-0.0006
ku-ur-ru,2,0.3,3.1e-05,2.0,-0.0059,0.0565,0.0709
ku-ši-ha,3,0.6,0.000105,3.0,-0.0107,0.1523,-0.1029
ku-ši-ih,99,40.926,0.278407,93.9184,-0.0283,-0.0221,-0.0387
ku-ši-ih-ma,4,1.2,0.002084,3.3333,-0.0062,0.03,0.044
ku-ši-ih-ša,2,0.9,0.005032,2.0,-0.0074,0.0909,-0.072
ku-ši-ih-ši-ma,3,1.2033,0.00336,3.0,-0.0032,0.0027,-0.0134
ku]-ku-un-[nu-um,2,0.3,0.001223,2.0,-0.0036,-0.0038,0.0012
kuš3,4,0.6,0.002393,2.6667,-0.0032,-0.0017,-0.01
la-[ha]-ak-[ir]-ra,2,0.3,0.000426,2.0,0.162,0.0115,0.0003
la-am-li-e-ma,4,0.6,2.5e-05,4.0,0.0065,-0.014,-0.0099
la-am]-li-[e-ma,2,0.3,0.0,2.0,0.162,0.0115,0.0003
la-an-[si-ti-me,2,0.3,0.004162,0.0,-0.0021,-0.0035,0.0017
la-an-gi-el-li,2,0.3,0.00182,2.0,-0.0017,-0.0023,-0.0044
la-an-si-di-ia,2,0.3,0.000111,2.0,-0.0071,0.097,-0.113
la-an-si-ti-e,2,0.3,0.001818,0.0,-0.0059,0.0565,0.0709
la-an-si-ti-ih,2,0.3,1.9e-05,2.0,-0.0019,-0.004,-0.0003
la-an-si-ti-ip-pa,6,1.5,0.005388,5.6,-0.0053,0.008,0.0152
la-an-si-ti-ir,2,0.3,0.000334,2.0,-0.0019,-0.0051,-0.0018
la-an-si-ti-ir-ra,5,1.8053,0.007017,5.0,-0.005,-0.0091,-0.0003
la-an-si-ti-me,2,0.3,0.004162,0.0,-0.0036,-0.0038,0.0012
la-an-si-ti-pa,2,0.3,0.000644,2.0,-0.0022,-0.0042,-0.0018
la-an-si-ti-ra,2,0.3,0.000207,2.0,-0.0021,-0.005,-0.0011
la-ha-ak-ir-ra,10,3.0498,0.017993,9.3333,0.0065,-0.014,-0.0099
la-ni-e,2,0.3,1.6e-05,2.0,-0.0037,0.0312,0.0346
la-ni-ia,2,0.3,0.002392,2.0,-0.0037,0.0312,0.0346
li-e,2,0.3,5e-06,2.0,-0.0009,-0.0047,0.0001
li-en-ra,2,0.3,0.0,2.0,-0.0009,-0.0047,0.0001
li-gi-e,2,0.3,0.001412,2.0,-0.0009,-0.0047,0.0001
li-ik-ri,2,0.3,1e-06,2.0,-0.0021,-0.0145,-0.0003
li-ik-ri-in,2,0.3,0.003812,0.0,-0.0023,-0.004,-0.0006
li-in-ra,2,0.3,0.000317,0.0,-0.0082,0.1217,-0.0215
li-ki-ir,2,0.3,0.001803,2.0,-0.0018,-0.0059,0.0001
li-li-ra,2,0.3,0.000399,2.0,-0.0021,0.0008,-0.0009
li-mi-in,2,0.3,0.001452,2.0,-0.0011,-0.0084,-0.0001
li-mi-in-ra,2,0.3,0.000172,2.0,-0.0011,-0.0084,-0.0001
li-mi-in-ra],2,0.3,0.001302,2.0,-0.0011,-0.0084,-0.0001
li-na,18,8.4,0.017259,16.8235,0.0134,-0.0159,0.0007
li-na-pu-un,2,0.9,0.009271,2.0,-0.0057,0.0525,-0.0389
li-na],2,0.3,5e-06,2.0,-0.0026,-0.0063,0.003
li-ni-en,2,0.3,0.00309,2.0,-0.0019,-0.0041,0.0003
li?-ki?-ri?-en?,2,0.3,0.003205,0.0,-0.0018,-0.0049,0.0005
lu-be-en,2,0.3,0.000584,2.0,-0.0009,-0.0047,0.0001
lu-bu-ru-uh,3,0.9519,3e-06,3.0,-0.0071,0.097,-0.113
lu-lu-uh-šu,2,0.3,0.001803,2.0,-0.0016,-0.0037,-0.0018
lu-mu-un-ra,2,0.3,0.001803,2.0,-0.0082,0.1217,-0.0215
lu-pi-en,3,0.45,0.000183,3.0,-0.0071,0.097,-0.113
lu-ub-bu-ru-uh-ni,2,0.3,2.2e-05,2.0,-0.0082,0.1217,-0.0215
ma-šu-um,2,0.3,0.002232,2.0,-0.0025,0.0007,-0.0045
me-[lu]-uk-ra,2,0.3,4.3e-05,2.0,-0.0021,-0.0145,-0.0003
me-el-ka-an-ra,5,0.9,0.002128,4.0,-0.0076,0.0827,0.1509
me-en-pu,2,0.3,0.001463,2.0,-0.0016,0.0048,-0.0161
me-it-ki-ni,1,0.15,0.0,0,-0.0044,0.0586,0.1392
me-lu-uk-ma,2,0.3,1.6e-05,2.0,-0.0032,0.0049,-0.0068
me-lu-uk-ra,9,4.8,0.013891,7.5,-0.0096,-0.0035,0.0176
me-lu-uk-ra],2,0.3,0.00184,2.0,-0.0011,-0.0084,-0.0001
mi-el-ki,2,0.3,0.001472,2.0,-0.0021,-0.0037,0.0009
mi-ša-ri,2,0.3,9.5e-05,2.0,-0.0082,0.1217,-0.0215
mi-ši-ma-na,2,0.3,0.001803,2.0,-0.0059,0.0565,0.0709
mu,2,0.3,0.000845,2.0,0.0003,-0.0043,-0.0017
mu-uh-du-uh-me,2,0.3,0.00236,2.0,-0.0018,-0.0059,0.0001
mu-ur-ta-ah,2,0.3,9.6e-05,2.0,-0.0021,-0.0008,-0.0031
mu-ur-ta-an,2,0.3,0.0,2.0,-0.0016,-0.0037,-0.0018
mu-ur-ta-an-ra,2,0.3,0.001625,2.0,-0.0021,0.0008,-0.0009
mu-ur-tah,14,7.81,0.065479,10.1538,-0.0072,-0.0145,-0.003
mu-ur-ti,2,0.3,0.002249,2.0,-0.0021,0.0008,-0.0009
mu-ši-a,5,0.9,0.000143,4.5,0.0024,-0.008,-0.0115
mu-ši-it-ta,2,0.3,3.8e-05,2.0,-0.0009,-0.0047,0.0001
na,4,0.6,0.000126,4.0,-0.0005,-0.0067,-0.0007
na-a,6,5.4,0.004457,6.0,-0.0089,-0.0095,0.015
na-ah-hu-un-te-ir,2,0.3,6e-06,2.0,-0.0044,0.0586,0.1392
na-pir2-ri-ša-ar-ra-pi,2,0.3,8e-06,2.0,-0.0044,0.0586,0.1392
ni,2,0.6,0.002588,2.0,-0.0017,-0.0057,-0.0008
ni-im-ma,4,0.6,0.000131,4.0,-0.0107,0.1523,-0.1029
