word,degree,strength,eigenvector,bridging,pc1,pc2,pc3
te-ip-ti,6,1.8,0.010515,5.6,0.0054,-0.0108,-0.0152
te-ip-ti],2,0.3,0.0,2.0,0.162,0.0115,0.0003
te-la-ak,1,0.45,0.000458,0,-0.0027,-0.0138,-0.0013
te-la-ak-[ni],1,0.15,0.000146,0,-0.0017,-0.0023,-0.0044
te-la-ak-li,1,0.15,0.000146,0,0.0053,-0.0104,-0.006
te-la-ak-ni,12,7.95,0.010577,11.8182,-0.0161,-0.0088,-0.0105
te-pu-uh,2,0.6,0.000134,2.0,-0.0049,0.0301,0.0406
tu4-[ur],3,0.6,0.006969,2.0,0.102,0.0008,0.0003
tu4-ni-ih,16,6.8051,0.05026,15.7333,0.0133,-0.0238,-0.0093
tu4-ru-un-ka,3,1.5,0.007327,3.0,-0.0053,-0.011,-0.0006
tu4-ru-uš-ni-e,1,0.15,0.0,0,-0.0009,-0.0047,0.0001
tu4-ul-li-in,2,0.3,0.000317,0.0,-0.0082,0.1217,-0.0215
tu4-um-pa,3,0.6,0.000197,3.0,-0.0107,0.1523,-0.1029
tu4-um-pa-an-ra,4,1.5,0.007585,4.0,-0.007,0.0233,-0.0059
tu4-up-pi-me,3,0.924,0.000267,2.0,-0.0044,0.0586,0.1392
tu4-ur,28,23.9199,0.191369,24.0741,0.0091,-0.041,-0.0051
tu4-ur-hi-ih,4,0.6,0.003477,2.6667,-0.0028,-0.0073,-0.0001
tu4-ur],2,0.3,0.000981,2.0,-0.0025,-0.0044,-0.0
tu4-uš,2,0.3,0.002232,2.0,-0.0016,0.0048,-0.0161
tuš,4,0.6,0.001447,3.3333,-0.0032,-0.0017,-0.01
u2,35,22.7018,0.176232,32.5294,-0.0064,-0.0074,-0.0013
u2-[me,2,0.3,1.2e-05,2.0,0.162,0.0115,0.0003
u2-me,86,50.9423,0.354014,80.4471,0.0096,-0.0266,0.0136
u2-pa-at,45,25.1049,0.204411,38.4545,-0.0131,-0.0314,-0.0049
u2-pa-at],2,0.3,0.003303,2.0,0.0001,-0.0068,0.0006
