source,target,bigram_weight,similarity_weight,total_weight,edge_type
(d)na-ap-ra-te-ip-me,si-ia-an,0.3,0,0.3,bigram
(d)na-ap-ra-te-ip-me,u2-pa-at,0.3,0,0.3,bigram
[…],ka,0.3,0,0.3,bigram
(d)na-ah-hu-un-te,šu-šu-un-ka,0.3,0,0.3,bigram
(d)na-ah-hu-un-te,ku-ul-la-an-ka,0.3,0,0.3,bigram
(md)hu-ban-um-me-en-na-ki,ša-ak,0.3,0,0.3,bigram
(md)hu-ban-um-me-en-na-ki,su-un-ki-ik,0.3,0,0.3,bigram
si-ia-an-ku-uk,ul-lu-ru-uk,0.3,0,0.3,bigram
[…]-ti-ia,a-ak,0.3,0,0.3,bigram
(d)u2-pur-ku-pa-ak,u2-me,0.3,0,0.3,bigram
[(d)in]-šu-uš-na-ak,[…],0.3,0,0.3,bigram
tu4-ni-ih,un,0.3,0,0.3,bigram
(d)30,ku-ši-ih,0.3,0,0.3,bigram
(d)30,la-an-si-ti-ir-ra,0.3,0,0.3,bigram
(d)30,u2-me,0.3,0,0.3,bigram
(d)30,si-ia-an-ku-uk-ra,0.3,0,0.3,bigram
(d)u2-pur-ku-pa-ak,a-gi,0.3,0,0.3,bigram
ha-li-ik,hu-ut-ta-ak,0.3,0,0.3,bigram
ha-li-ik,u2-me,0.3,0,0.3,bigram
(m)un-taš-dingir-gal-ki,ru-tu4,0.3,0,0.3,bigram
ak-ka,hu-tu4-un-ra,0.3,0,0.3,bigram
DINGIR-GAL,me-lu-uk-ra,0.15,0,0.15,bigram
DINGIR-GAL,a-ak,0.15,0,0.15,bigram
hi-ih-li,su-un-ki-ir,0.15,0,0.15,bigram
pi-ti-ir,su-un-ki-ir,0.15,0,0.15,bigram
a-ak,ta-ri-ir,0.15,0,0.15,bigram
ak-ka,ta-ri-ir,0.15,0,0.15,bigram
ha-at-ta-an-ra,me-el-ka-an-ra,0.15,0,0.15,bigram
a-ak,ha-at-ta-an-ra,0.15,0,0.15,bigram
a-ak,la-an-si-ti-e,0.15,0,0.15,bigram
du-un-ra,la-an-si-ti-e,0.15,0,0.15,bigram
a-ak,du-un-ra,0.15,0,0.15,bigram
(m)un-taš-dingir-gal-me,su-ku-ša-ak,0.15,0,0.15,bigram
i-me-ni,su-ku-ša-ak,0.15,0,0.15,bigram
a-ha-ar,i-me-ni,0.15,0,0.15,bigram
ha-at,ta-an-ra,0.15,0,0.15,bigram
a-ni,i,0.15,0,0.15,bigram
i,ku-tu4-un,0.15,0,0.15,bigram
ku-tu4-un,su-un-ki-ir,0.15,0,0.15,bigram
ha-ta-am-ti-ir,su-un-ki-ir,0.15,0,0.15,bigram
an-ka,ha-ta-am-ti-ir,0.15,0,0.15,bigram
an-ka,ru-ri-na,0.15,0,0.15,bigram
a-ak,ru-ri-na,0.15,0,0.15,bigram
a-ak,mi-ši-ma-na,0.15,0,0.15,bigram
ku-ur-ru,mi-ši-ma-na,0.15,0,0.15,bigram
ku-du-ni,ku-ur-ru,0.15,0,0.15,bigram
a-ak,ku-du-ni,0.15,0,0.15,bigram
(m)un-taš-dingir-gal-me,a-ha,0.15,0,0.15,bigram
a-ha,ta-aš2-ni,0.15,0,0.15,bigram
ul-hi,šu-šu-un-ka,0.15,0,0.15,bigram
i,la-ni-ia,0.15,0,0.15,bigram
ku-ši-ih,la-ni-ia,0.15,0,0.15,bigram
ku-ši-ih-ma,si-ia-an,0.15,0,0.15,bigram
ak-ka,hi-ih-li,0.15,0,0.15,bigram
ak-ka,ul-hi,0.15,0,0.15,bigram
i,me-el-ka-an-ra,0.15,0,0.15,bigram
a-ak,me-el-ka-an-ra,0.15,0,0.15,bigram
a-ak,u2-pa-ti-pi,0.15,0,0.15,bigram
la-ni-e,u2-pa-ti-pi,0.15,0,0.15,bigram
la-ni-e,pa-ka-an-ra,0.15,0,0.15,bigram
ha-at,pa-ka-an-ra,0.15,0,0.15,bigram
(d)in-šu-uš-na-ak,si-ia-an-ku-uk-pa-ri,0.15,0,0.15,bigram
u2,un-taš-dingir-gal,0.15,0,0.15,bigram
un-taš-dingir-gal,ša-ak,0.15,0,0.15,bigram
(d)hu-ban-nu-me-na-gi,ša-ak,0.15,0,0.15,bigram
(d)hu-ban-nu-me-na-gi,zu-un-ki-ik,0.15,0,0.15,bigram
ma-šu-um,šu-šu-un-ka,0.15,0,0.15,bigram
ma-šu-um,pi-it-te-ka,0.15,0,0.15,bigram
pi-it-te-ka,si-ia-an-ku-uk,0.15,0,0.15,bigram
ku-ši-ih,pi-el,0.15,0,0.15,bigram
a-gi,šu-un-šu-ir-pi,0.15,0,0.15,bigram
ku-ši-ih,šu-un-šu-ir-pi,0.15,0,0.15,bigram
(d)hu-ba-nu-me-en-na-ki,ša-ak,0.15,0,0.15,bigram
(d)hu-ba-nu-me-en-na-ki,su-un-ki-ik,0.15,0,0.15,bigram
u2-me,šu-lu-me-ka,0.15,0,0.15,bigram
az-ki-it,šu-lu-me-ka,0.15,0,0.15,bigram
hu-šu-a,sah-ri,0.15,0,0.15,bigram
hu-šu-a,in-gi,0.15,0,0.15,bigram
(d)ki-ri-ri-ša,ku-ši-ih,0.15,0,0.15,bigram
(d)ki-ri-ri-ša,si-a-an-ku-uk-ra,0.15,0,0.15,bigram
(d)ki-ri-ri-ša,li-na,0.15,0,0.15,bigram
(d)iš-ni-ka-ra-ab2,ku-ši-ih,0.15,0,0.15,bigram
(d)iš-ni-ka-ra-ab2,si-ia-an-ku-uk-ra,0.15,0,0.15,bigram
(d)hu-ban-nu-me-en-na-ki,ša-ak,0.15,0,0.15,bigram
(d)hu-ban-nu-me-en-na-ki,su-un-ki-ik,0.15,0,0.15,bigram
u2-me,šu-ul-lu-me-ka,0.15,0,0.15,bigram
az-ki-it,šu-ul-lu-me-ka,0.15,0,0.15,bigram
si-ia-an,ta-li-in,0.15,0,0.15,bigram
ku-ši-ih,ta-li-in,0.15,0,0.15,bigram
1,du-ni-ih,0.15,0,0.15,bigram
1,šu-uh-tir,0.15,0,0.15,bigram
ir,šu-uh-tir,0.15,0,0.15,bigram
ir,ta-ah,0.15,0,0.15,bigram
hu-ut-tak-ha-li-ik,ta-ah,0.15,0,0.15,bigram
dingir-gal,ul-li-na,0.15,0,0.15,bigram
a-lu-mi-im-ma,si-ia-an,0.15,0,0.15,bigram
a-lu-mi-im-ma,u2-pa-at,0.15,0,0.15,bigram
si-ia-an,si-li-in,0.15,0,0.15,bigram
si-li-in,u2-pa-at,0.15,0,0.15,bigram
(d)ša-la,in,0.15,0,0.15,bigram
ki-ni-in,si-ia-an,0.15,0,0.15,bigram
ki-ni-in,u2-pa-at,0.15,0,0.15,bigram
(d)nin-a-li,in,0.15,0,0.15,bigram
si-ir-ha-al-te,šu-šu-un-ka,0.15,0,0.15,bigram
si-ir-ha-al-te,u2-pa-at,0.15,0,0.15,bigram
(d)na-ap-ra-te-ip,nu-ul-ki-ip-pi,0.15,0,0.15,bigram
in,nu-ul-ki-ip-pi,0.15,0,0.15,bigram
(d)pi-ni-gìr,ku-ši-ih,0.15,0,0.15,bigram
(d)pi-ni-gìr,la-an-si-ti-ir,0.15,0,0.15,bigram
a-ha-ar,la-an-si-ti-ir,0.15,0,0.15,bigram
(d)pi-ni-gir3,u2-me,0.15,0,0.15,bigram
(d)pi-ni-gir3,si-ia-an-ku-uk-ra,0.15,0,0.15,bigram
hu-ni-in,si-ia-an,0.15,0,0.15,bigram
hu-ni-in,u2-pa-at,0.15,0,0.15,bigram
(d)ru-hu-ra-te-ir,in,0.15,0,0.15,bigram
(d)hu-ban-um-me-en-na-ki,zu-un-ki-ik,0.15,0,0.15,bigram
tu4-uš,šu-šu-un-ka,0.15,0,0.15,bigram
pi-it-te-ka,tu4-uš,0.15,0,0.15,bigram
ap-pa,pi-it-te-ka,0.15,0,0.15,bigram
a-gi,hu-ut-tah-ša,0.15,0,0.15,bigram
a-gi,me-en-pu,0.15,0,0.15,bigram
ap-pa,me-en-pu,0.15,0,0.15,bigram
ap-pa,im-me,0.15,0,0.15,bigram
hu,ku-ši-ih,0.15,0,0.15,bigram
hu,si-ia-ni-me,0.15,0,0.15,bigram
ku-uk-ši-ih,si-ia-ni-me,0.15,0,0.15,bigram
hu-uh-ni-me,ku-uk-ši-ih,0.15,0,0.15,bigram
hu-uh-ni-me,hu-ul-pa-ah,0.15,0,0.15,bigram
hu-ul-pa-ah,ku-du-ma,0.15,0,0.15,bigram
a-ak,ku-du-ma,0.15,0,0.15,bigram
a-ak,pi-tu4-ma,0.15,0,0.15,bigram
pi-tu4-ma,u2,0.15,0,0.15,bigram
ki-ik-ki-ti-ih,zig-ra-tu4-me,0.15,0,0.15,bigram
(d)in-šu-uš-na-ak,ki-ik-ki-ti-ih,0.15,0,0.15,bigram
si-ia-an-ku-uk-ra,te-ip-ti,0.15,0,0.15,bigram
ip-il-la-ti,šu-šu-un-ka,0.15,0,0.15,bigram
ip-il-la-ti,ku-ši-ih,0.15,0,0.15,bigram
ku-ši-ih,ta-ak-me,0.15,0,0.15,bigram
az-ki-[it],u2-me,0.15,0,0.15,bigram
az-ki-[it],tu4-ur,0.15,0,0.15,bigram
hu-šu-ia,za-ah-ri,0.15,0,0.15,bigram
ia-ak,in-ti-ik-ka,0.15,0,0.15,bigram
[ip-il-la-ti],ia-ak,0.15,0,0.15,bigram
[ip-il-la-ti],ku-ši-ih,0.15,0,0.15,bigram
du-ni-ih,hu-ut-ta-ak-[ha-li-ik],0.15,0,0.15,bigram
hu-ut-ta-ak-[ha-li-ik],u2-me,0.15,0,0.15,bigram
(d)in-šu-ši-na-ak,dingir-gal,0.15,0,0.15,bigram
(d)PA.TUG2,a-ak,0.15,0,0.15,bigram
(d)PA.TUG2,si-ia-an-ku-uk-pa,0.15,0,0.15,bigram
a-gi,tuš,0.15,0,0.15,bigram
10,tuš,0.15,0,0.15,bigram
10,kuš3,0.15,0,0.15,bigram
ku-ši-ih,kuš3,0.15,0,0.15,bigram
(d)PA.TUG2,si-a-an-ku-uk-ra,0.15,0,0.15,bigram
(d)[hu]-um-ban-nu-me-na-gi,ša-ak,0.15,0,0.15,bigram
(d)[hu]-um-ban-nu-me-na-gi,su-un-ki-ik,0.15,0,0.15,bigram
[in-ti]-ik-ka,hi-en-ka,0.15,0,0.15,bigram
[a]-gi,[in-ti]-ik-ka,0.15,0,0.15,bigram
[a]-gi,si-ia-an,0.15,0,0.15,bigram
(d)ki-ri-ri-ša-me,si-ia-an,0.15,0,0.15,bigram
(d)ki-ri-ri-ša-me,ki-iš-tu4-um-ma,0.15,0,0.15,bigram
[ku-ši-ih],ki-iš-tu4-um-ma,0.15,0,0.15,bigram
(d)ki-{ri-ri}-ša,[ku-ši-ih],0.15,0,0.15,bigram
(d)ki-{ri-ri}-ša,du-ni-ih,0.15,0,0.15,bigram
(d)ki-ri-ri-ša,si-[ia-an-ku]-uk-[ra,0.15,0,0.15,bigram
li-na],si-[ia-an-ku]-uk-[ra,0.15,0,0.15,bigram
li-na],te-[la-ak-ni],0.15,0,0.15,bigram
hi-ih,zi-it-im-ma,0.15,0,0.15,bigram
hi-en-ka,zi-it-im-ma,0.15,0,0.15,bigram
(d)zu-un-ki-ir-ri-ša-ar-ra-me,si-ia-an,0.15,0,0.15,bigram
(d)zu-un-ki-ir-ri-ša-ar-ra-me,ri-e-ru-um-ma,0.15,0,0.15,bigram
ku-ši-ih,ri-e-ru-um-ma,0.15,0,0.15,bigram
(d)zu-un-ki-ir-ri-ša-ar-ra,u2-me,0.15,0,0.15,bigram
(d)zu-un-ki-ir-ri-ša-ar-ra,li-na,0.15,0,0.15,bigram
(md)hu-um-[ban-nu-me-na-gi,ša-ak,0.15,0,0.15,bigram
(md)hu-um-[ban-nu-me-na-gi,zu-un-ki-ik,0.15,0,0.15,bigram
an-za-an],zu-un-ki-ik,0.15,0,0.15,bigram
an-za-an],šu-šu-un-ka,0.15,0,0.15,bigram
li-mi-in,si-ia-an,0.15,0,0.15,bigram
ku-[ši-ih,li-mi-in,0.15,0,0.15,bigram
(d)ki-la-ah-šu-pi-ir,ku-[ši-ih,0.15,0,0.15,bigram
(d)ki-la-ah-šu-pi-ir,li-mi-in-ra],0.15,0,0.15,bigram
li-mi-in-ra],si-ia-an-ku-uk-ra,0.15,0,0.15,bigram
du-ni-ih,hu-ut2-tak-[ha-li-ik,0.15,0,0.15,bigram
hu-ut2-tak-[ha-li-ik,u2-me,0.15,0,0.15,bigram
(d)ki-la-ah-šu-pi-ir],u2-me,0.15,0,0.15,bigram
(d)ki-la-ah-šu-pi-ir],li-mi-in-ra,0.15,0,0.15,bigram
li-mi-in-ra,li-na,0.15,0,0.15,bigram
pi-[el,te-la-ak-ni,0.15,0,0.15,bigram
ki-it-ti-im-ma,pi-[el,0.15,0,0.15,bigram
me-lu-uk-ra],na-a,0.15,0,0.15,bigram
a-ak,me-lu-uk-ra],0.15,0,0.15,bigram
a-ak,su-un-ki-me,0.15,0,0.15,bigram
[si-it-tim,hi-ih,0.15,0,0.15,bigram
[si-it-tim,gi-ri-ni,0.15,0,0.15,bigram
hi-ih-ni],in,0.15,0,0.15,bigram
[su]-un-ki-ik,[…]-nu-me-na-gi,0.15,0,0.15,bigram
[su]-un-ki-ik,a[n-za]-an,0.15,0,0.15,bigram
a[n-za]-an,šu-šu-un-ka,0.15,0,0.15,bigram
[…]-ih-ma,šu-šu-un-ka,0.15,0,0.15,bigram
[…]-ih-ma,si-ia-an,0.15,0,0.15,bigram
(d)kir-ma-sir-me,si-ia-an,0.15,0,0.15,bigram
(d)kir-ma-sir-me,ku-ši-ih,0.15,0,0.15,bigram
[…]-ar-na,ku-ši-ih,0.15,0,0.15,bigram
[…]-ar-na,a-ak,0.15,0,0.15,bigram
a-ak,ta?-du?-ra-na,0.15,0,0.15,bigram
(d)in-šu-ši-na-ak,ta?-du?-ra-na,0.15,0,0.15,bigram
(d)in-šu-ši-na-ak,[…],0.15,0,0.15,bigram
[…],ha-du,0.15,0,0.15,bigram
ha-du,hu-ut2-tak,0.15,0,0.15,bigram
[…]-pi,hu-ut2-tak,0.15,0,0.15,bigram
[…]-pi,a-ak,0.15,0,0.15,bigram
a-ak,la-an-gi-el-li,0.15,0,0.15,bigram
[…]-ak,la-an-gi-el-li,0.15,0,0.15,bigram
[…]-ak,hu-pi-e,0.15,0,0.15,bigram
a-ha,hu-pi-e,0.15,0,0.15,bigram
a-ha,du-[…]h-pi,0.15,0,0.15,bigram
du-[…]h-pi,hu-ut2-tak?-ha?-[…],0.15,0,0.15,bigram
(d)in-šu-ši-na-ak,hu-ut2-tak?-ha?-[…],0.15,0,0.15,bigram
[…],si-ia-an,0.15,0,0.15,bigram
[…],li-na,0.15,0,0.15,bigram
li-na,te-la-ak-[ni],0.15,0,0.15,bigram
ha-al-ma-šu-um,šu-šu-un-ka,0.15,0,0.15,bigram
ha-al-ma-šu-um,pi-it-te-ga,0.15,0,0.15,bigram
a-al,pi-it-te-ga,0.15,0,0.15,bigram
a-ha,si-ia-an-ku-uk,0.15,0,0.15,bigram
hu-hu-un,ku-du-um-ma,0.15,0,0.15,bigram
a-ak,ku-du-um-ma,0.15,0,0.15,bigram
a-ak,pi-tu4-um-ma,0.15,0,0.15,bigram
in,pi-tu4-um-ma,0.15,0,0.15,bigram
ku-ku-un-nu-um,su-un-ki-ip,0.15,0,0.15,bigram
tu4-um-pa,šu-tu4-ur,0.15,0,0.15,bigram
dingir-gal,šu-tu4-ur,0.15,0,0.15,bigram
(d)in-šu-uš-na-ak,si-ia-an-ku-uk-pa-me,0.15,0,0.15,bigram
a-ha-an,si-ia-an-ku-uk-pa-me,0.15,0,0.15,bigram
a-ha-an,ni-im-ma,0.15,0,0.15,bigram
ha-al,ni-im-ma,0.15,0,0.15,bigram
ap-pa,ha-al,0.15,0,0.15,bigram
ku-ši-ha,lu-ub-bu-ru-uh-ni,0.15,0,0.15,bigram
hi-še,lu-ub-bu-ru-uh-ni,0.15,0,0.15,bigram
hi-še,i,0.15,0,0.15,bigram
a-bu-ul,i,0.15,0,0.15,bigram
a-bu-ul,mi-ša-ri,0.15,0,0.15,bigram
hi-i-še-e,mi-ša-ri,0.15,0,0.15,bigram
ak-ka,hi-i-še-e,0.15,0,0.15,bigram
ak-ka,hu-hu-un,0.15,0,0.15,bigram
hu-hu-un,si-ia-an-ku-uk-ma,0.15,0,0.15,bigram
ku-ta-a,si-ia-an-ku-uk-ma,0.15,0,0.15,bigram
a-ha-ar,ku-ta-a,0.15,0,0.15,bigram
a-ha-ar,li-in-ra,0.15,0,0.15,bigram
li-in-ra,tu4-ul-li-in,0.15,0,0.15,bigram
a-ha-ar,tu4-ul-li-in,0.15,0,0.15,bigram
ta-an-ra,u2-pa-ti-pi,0.15,0,0.15,bigram
du-ha-an-ra,u2-pa-ti-pi,0.15,0,0.15,bigram
du-ha-an-ra,ha-al-te-te,0.15,0,0.15,bigram
ha-al-te-te,lu-mu-un-ra,0.15,0,0.15,bigram
a-ak,lu-mu-un-ra,0.15,0,0.15,bigram
pi-ti-ir,ši-in-ni,0.15,0,0.15,bigram
ik-el,ši-in-ni,0.15,0,0.15,bigram
a-ha-ar,ik-el,0.15,0,0.15,bigram
a-ha-ar,tu4-um-pa-an-ra,0.15,0,0.15,bigram
ha-at,tu4-um-pa-an-ra,0.15,0,0.15,bigram
an-za-an,šu-šu-un,0.15,0,0.15,bigram
ha-al-ma-šu-um,šu-šu-un,0.15,0,0.15,bigram
ha-al-ma-šu-um,pi-it-te-ka,0.15,0,0.15,bigram
a-al,pi-it-te-ka,0.15,0,0.15,bigram
ku-ku-un-nu-um,ku-ši-ih,0.15,0,0.15,bigram
ku-ku-un-nu-um,la-an-si-di-ia,0.15,0,0.15,bigram
a-ha,la-an-si-di-ia,0.15,0,0.15,bigram
hu-hu-un,ki-du-um-ma,0.15,0,0.15,bigram
a-ak,ki-du-um-ma,0.15,0,0.15,bigram
a-ak,pi-du-um-ma,0.15,0,0.15,bigram
in,pi-du-um-ma,0.15,0,0.15,bigram
ku-ku-un-nu-um,zu-un-ki-ip,0.15,0,0.15,bigram
tu4-um-pa,šu-du-ur,0.15,0,0.15,bigram
dingir-gal-me,šu-du-ur,0.15,0,0.15,bigram
a-ak,dingir-gal-me,0.15,0,0.15,bigram
(d)in-šu-ši-na-ak-me,a-ak,0.15,0,0.15,bigram
(d)in-šu-ši-na-ak-me,a-ha,0.15,0,0.15,bigram
a-ha,ni-im-ma,0.15,0,0.15,bigram
ha-al-li,ni-im-ma,0.15,0,0.15,bigram
ap-pa,ha-al-li,0.15,0,0.15,bigram
ku-ši-ha,lu-bu-ru-uh,0.15,0,0.15,bigram
hi-el,lu-bu-ru-uh,0.15,0,0.15,bigram
hi-el,i,0.15,0,0.15,bigram
a-bu-ul-lu,i,0.15,0,0.15,bigram
a-bu-ul-lu,ša-qu-tu4,0.15,0,0.15,bigram
hi-i-še,ša-qu-tu4,0.15,0,0.15,bigram
ha-al,hi-i-še,0.15,0,0.15,bigram
ha-al,ha-ap-ti-iš,0.15,0,0.15,bigram
ha-ap-ti-iš,il-ki-ka,0.15,0,0.15,bigram
il-ki-ka,si-ia-an-ku-uk,0.15,0,0.15,bigram
si-ia-an-ku-uk,zu-uk-ma,0.15,0,0.15,bigram
im-me,zu-uk-ma,0.15,0,0.15,bigram
im-me,lu-pi-en,0.15,0,0.15,bigram
lu-pi-en,zu-lu-ka-ak,0.15,0,0.15,bigram
uk-ku-ma,zu-lu-ka-ak,0.15,0,0.15,bigram
hu-ma-ka-ak,uk-ku-ma,0.15,0,0.15,bigram
hu-ma-ka-ak,lu-pi-en,0.15,0,0.15,bigram
li-ik-ri-in,si-ia-an,0.15,0,0.15,bigram
ku-ši-ih,li-ik-ri-in,0.15,0,0.15,bigram
du-ni-ih,hu-sa-a,0.15,0,0.15,bigram
hu-sa-a,ša-ar-ra-na,0.15,0,0.15,bigram
a-ha-ar,ša-ar-ra-na,0.15,0,0.15,bigram
a-ha-ar,ka-da-an,0.15,0,0.15,bigram
ka-da-an,si-ti-i,0.15,0,0.15,bigram
a-ha-ar,si-ti-i,0.15,0,0.15,bigram
a-ha-ar,zu-uk-ka-an,0.15,0,0.15,bigram
hu-pi-e,zu-uk-ka-an,0.15,0,0.15,bigram
a-ha-ar,hu-pi-e,0.15,0,0.15,bigram
a-ha-ar,hu-ut-ta-an,0.15,0,0.15,bigram
a-bu-ul,šu-šu-un-ka,0.15,0,0.15,bigram
a-bu-ul,ki-nu-ni,0.15,0,0.15,bigram
ki-nu-ni,ku-ši-ih,0.15,0,0.15,bigram
az-ki-it,hu-šu-ut-ta,0.15,0,0.15,bigram
hu-šu-ut-ta,in-gi,0.15,0,0.15,bigram
(d)in-šu-uš-na-ak,in,0.15,0,0.15,bigram
(d)in-šu-uš-na-ak,il-li-na,0.15,0,0.15,bigram
il-li-na,te-la-ak-ni,0.15,0,0.15,bigram
hu-ban-nu-me-en-na-ki,ša-ak,0.15,0,0.15,bigram
hu-ban-nu-me-en-na-ki,su-un-ki-ik,0.15,0,0.15,bigram
hi-en-ga,in-di-ig-ga4,0.15,0,0.15,bigram
a-gi,in-di-ig-ga4,0.15,0,0.15,bigram
a-bu-ul,a-gi,0.15,0,0.15,bigram
a-bu-ul,gi-nu-ni,0.15,0,0.15,bigram
gi-nu-ni,ku-ši-ih,0.15,0,0.15,bigram
hi-en-ga,in-di-ig-ga2,0.15,0,0.15,bigram
a-gi,in-di-ig-ga2,0.15,0,0.15,bigram
(d)hi-iš-mi-di-ik,ku-ši-ih,0.15,0,0.15,bigram
(d)ru-hu-ra-tir,si-ia-an-ku-uk-ra,0.15,0,0.15,bigram
ha-di-en,tu4-ni-ih,0.15,0,0.15,bigram
ha-ap-ši,ha-di-en,0.15,0,0.15,bigram
ha-ap-ši,ir,0.15,0,0.15,bigram
ir,su-kar-tah,0.15,0,0.15,bigram
hu-ut-tak-ha-li-ik,su-kar-tah,0.15,0,0.15,bigram
(d)hi-iš-mi-di-ik,u2-me,0.15,0,0.15,bigram
(d)ru-hu-ra-tir,ul-li-na6,0.15,0,0.15,bigram
te-la-ak-ni,ul-li-na6,0.15,0,0.15,bigram
(d)hu-um-ban-um-me-en-na-ki,ša-ak,0.15,0,0.15,bigram
(d)hu-um-ban-um-me-en-na-ki,su-un-ki-ik,0.15,0,0.15,bigram
(d)hu-um-ban-me,si-a-an,0.15,0,0.15,bigram
(d)hu-um-ban-me,u2-pa-at,0.15,0,0.15,bigram
(d)hu-um-ban,ku-ši-ih,0.15,0,0.15,bigram
(d)hu-um-ban,si-a-an-ku-uk-ra,0.15,0,0.15,bigram
(d)hu-um-ban,u2-me,0.15,0,0.15,bigram
(d)hu-um-ban,ul-li-na,0.15,0,0.15,bigram
(m)hu-ban-nu-me-na-ki,su-un-ki-ik,0.15,0,0.15,bigram
(d)na-bi-um,ku-ši-ih,0.15,0,0.15,bigram
(d)na-bi-um,si-ia-an-ku-uk-ra,0.15,0,0.15,bigram
(d)na-bi-um,u2-me,0.15,0,0.15,bigram
(d)na-bi-um,ul-li-na,0.15,0,0.15,bigram
(m)hu-ban-nu-me-na-ki,zu-un-ki-ik,0.15,0,0.15,bigram
hi-ih2,tu4-ur,0.15,0,0.15,bigram
hi-ih2,si-it-me,0.15,0,0.15,bigram
a-ak,in-di-ig-ga,0.15,0,0.15,bigram
a-ak,si-ia-an,0.15,0,0.15,bigram
mu-ur-ti,šu-šu-un-ka,0.15,0,0.15,bigram
ip-il-la-ti-ma,mu-ur-ti,0.15,0,0.15,bigram
ip-il-la-ti-ma,ku-ši-ih,0.15,0,0.15,bigram
(d)PA.TUG2,li-li-ra,0.15,0,0.15,bigram
ha-al,li-li-ra,0.15,0,0.15,bigram
ha-al,ha-ap-pa-ti-iš,0.15,0,0.15,bigram
ha-ap-pa-ti-iš,pa-ap-pa-ra-na,0.15,0,0.15,bigram
(m)un-taš-dingir-gal,pa-ap-pa-ra-na,0.15,0,0.15,bigram
(m)un-taš-dingir-gal,uk-ku-ri,0.15,0,0.15,bigram
ir,mu-ur-ta-an-ra,0.15,0,0.15,bigram
hu-ut-tak-ha-li-ik,mu-ur-ta-an-ra,0.15,0,0.15,bigram
(d)PA.TUG2,li-na,0.15,0,0.15,bigram
(d)in-na-na,si-ia-an,0.15,0,0.15,bigram
ap-pu-ki-me,be-el-ti,0.15,0,0.15,bigram
ap-pu-ki-me,ku-ši-ih,0.15,0,0.15,bigram
(d)in-na-na,ku-ši-ih,0.15,0,0.15,bigram
ap-pu-ki-i,be-el-ti,0.15,0,0.15,bigram
ap-pu-ki-i,ir,0.15,0,0.15,bigram
hu-pi-e,mu-ur-tah,0.15,0,0.15,bigram
hu-pi-e,pi-ip-ši-ia,0.15,0,0.15,bigram
pi-ip-li-ih,pi-ip-ši-ia,0.15,0,0.15,bigram
hu-ut-ta-ak-ha-li-ik,pi-ip-li-ih,0.15,0,0.15,bigram
li-ni-en,u2-me,0.15,0,0.15,bigram
li-ni-en,te-la-ak-ni,0.15,0,0.15,bigram
(md)hu-um-ban-um-me-na-gi,ša-ak,0.15,0,0.15,bigram
(md)hu-um-ban-um-me-na-gi,su-un-ki-ik,0.15,0,0.15,bigram
pu-uk-ši,šu-šu-un-ka,0.15,0,0.15,bigram
pu-uk-ši,ta-ak-ki-ip-pi,0.15,0,0.15,bigram
ta-ak-ki-ip-pi,u2-pa-at,0.15,0,0.15,bigram
(d)su-un-ki-ir-ri-ša-ar-ra,ku-ši-ih,0.15,0,0.15,bigram
(d)su-un-ki-ir-ri-ša-ar-ra,in,0.15,0,0.15,bigram
(d)nin-e2-gal,ku-ši-ih,0.15,0,0.15,bigram
(d)nin-e2-gal,si-a-an-ku-uk-ra,0.15,0,0.15,bigram
(d)nin-e2-gal,u2-me,0.15,0,0.15,bigram
(d)nin-e2-gal,ul-li-na,0.15,0,0.15,bigram
(d)hu-ban-[um]-me-na-ki,ša-ak,0.15,0,0.15,bigram
(d)hu-ban-[um]-me-na-ki,su-un-ki-ik,0.15,0,0.15,bigram
hi-ih,tu4-[ur],0.15,0,0.15,bigram
(d)ma-an-za-at,ku-ši-ih,0.15,0,0.15,bigram
(d)ma-an-za-at,si-a-an-ku-uk-ra,0.15,0,0.15,bigram
e[l?-x-x]-at-tu4,tu4-ni-ih,0.15,0,0.15,bigram
e[l?-x-x]-at-tu4,ir,0.15,0,0.15,bigram
a-ha-ar,hi?-[…],0.15,0,0.15,bigram
h[u-ut-tak-h]a-li-ik,hi?-[…],0.15,0,0.15,bigram
h[u-ut-tak-h]a-li-ik,u2-me,0.15,0,0.15,bigram
(d)ma-an-za-at,u2-me,0.15,0,0.15,bigram
(d)ma-an-za-at,ul-li-na,0.15,0,0.15,bigram
(d)ši-ia-šu-um,ku-ši-ih,0.15,0,0.15,bigram
(d)ši-ia-šu-um,u2-me,0.15,0,0.15,bigram
(d)da-mu-si,si-ia-an,0.15,0,0.15,bigram
(d)da-mu-si,a-ak,0.15,0,0.15,bigram
(d)be-li-li-me,a-ak,0.15,0,0.15,bigram
(d)be-li-li-me,ku-ši-ih,0.15,0,0.15,bigram
a-pu-un,ku-ši-ih,0.15,0,0.15,bigram
a-ha-an,mu-ur-ta-ah,0.15,0,0.15,bigram
hu-pi-e,mu-ur-ta-ah,0.15,0,0.15,bigram
a-pi-me,hu-pi-e,0.15,0,0.15,bigram
a-pi-me,pi-ip-ši-ia,0.15,0,0.15,bigram
pi-ip-ši-ia,ta-at-ta-ah,0.15,0,0.15,bigram
hu-ut-ta-ak-ha-li-ik,ta-at-ta-ah,0.15,0,0.15,bigram
(m)un-taš-dingir-gal,[u2,0.15,0,0.15,bigram
(md)hu-um-ban-nu-me]-na-gi,ša-ak,0.15,0,0.15,bigram
