source,target,bigram_weight,similarity_weight,total_weight,edge_type
hu-ut-tak-ha-li-ik,ku-ši-ih,0.15,0.6322,0.7822,both
[…],u2-pa-at,0,0.7818,0.7818,similarity
u2,u2-pa-at,0,0.7813,0.7813,similarity
a-ak,in,0,0.7791,0.7791,similarity
hi-en-ka,u2-me,0,0.7786,0.7786,similarity
a-gi,u2-me,0,0.7764,0.7764,similarity
az-ki-it,u2-me,0,0.7742,0.7742,similarity
du-ni-ih,u2-me,0,0.7675,0.7675,similarity
tu4-ur,šu-šu-un-ka,0,0.7668,0.7668,similarity
ku-ši-ih,tu4-ur,0,0.7668,0.7668,similarity
a-ak,hu-us-si-ip-me,0,0.7562,0.7562,similarity
in-gi,u2-me,0,0.7546,0.7546,similarity
ku-ši-ih,si-ia-an-ku-uk-ra,0,0.7545,0.7545,similarity
dingir-gal,u2-pa-at,0,0.7541,0.7541,similarity
a-gi,im-me,0,0.7538,0.7538,similarity
si-ia-an-ku-uk-ra,u2-me,0,0.7527,0.7527,similarity
dingir-gal,mu-ur-tah,0,0.7518,0.7518,similarity
ir,uk-ku-ri,0.75,0,0.75,bigram
hi-en-ga,in-di-ig-ga,0.75,0,0.75,bigram
a-gi,in-di-ig-ga,0.75,0,0.75,bigram
a-gi,in-di-ik-ka,0.75,0,0.75,bigram
az-ki-it,šu-ul-lu-me-ga,0.75,0,0.75,bigram
a-ha-an,a-pu-un,0.75,0,0.75,bigram
hu-ut-ta-an-ra,tu4-ru-un-ka,0.75,0,0.75,bigram
u2,u2-me,0,0.7494,0.7494,similarity
ku-ši-ih,si-a-an-ku-uk-ra,0,0.7492,0.7492,similarity
in,u2-pa-at,0,0.7483,0.7483,similarity
(d)in-šu-uš-na-ak,[…],0,0.7467,0.7467,similarity
hi-en-ka,ku-ši-ih,0,0.7462,0.7462,similarity
ku-ši-ih,šu-šu-un-ka,0,0.7351,0.7351,similarity
dingir-gal,in-gi,0,0.7345,0.7345,similarity
[…],ku-ši-ih,0,0.7342,0.7342,similarity
dingir-gal,hu-us-si-ip-me,0,0.7326,0.7326,similarity
in-gi,ku-ši-ih,0,0.7326,0.7326,similarity
hu-us-si-ip-me,tu4-ur,0,0.7303,0.7303,similarity
a-pu-un,hi-ih,0,0.7297,0.7297,similarity
[…],an-za-an,0,0.7281,0.7281,similarity
tu4-ur,u2,0,0.7247,0.7247,similarity
in,in-gi,0,0.7247,0.7247,similarity
a-ak,a-gi,0,0.7247,0.7247,similarity
su-un-ki-ik,u2-me,0,0.7237,0.7237,similarity
a-gi,si-it-me,0,0.7218,0.7218,similarity
